description,image_all,price,title
"Available for Waist 19"" - 63"" | Petite - Tall Craft: Dabu Hand-Lep Print Primary Fabric: 100% Cotton - Natural Dyed, Hand Lep-ed in Bagru (Rajasthan) This garment is Hand Embroidered Pattern: Solid, Contemporary Color: Beige Style: Flared Length: Mid-Thigh Length High Rise waist Full Elasticated Waist This garment has Slash Pocket, Rounded Pocket Number of Pockets: 2 Garment Transparency: Opaque Relaxed Fit Heading out for brunch in the summer heat? It can't get comfier than our flared shorts. Fully elasticated at the waist for ease of wearing, it is natural-dyed using the hand-lep Dabu technique, which makes it skin-friendly. Complete with spacious slash pockets for all your stuff, pair it up with a white camisole and slide sandals to let your skin breathe.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown","//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-193530_800x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-131156_800x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-240543_800x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-982308_800x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-140936_800x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-333072_800x.jpg?v=1625847290","3,390",Beige Dabu Print Cotton Flared Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Corduroy Pattern: Solid, Stripes Color: Mauve Button Type: Shell Style: Baggy, Pleated Length: Mid-Thigh Length High Rise waist Half Elasticated Waist This garment has Slash Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Exposed Zip at Front Functional Specialty: Fold Up Hem Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.This product can also be worn as a maternity outfit.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT54B Shop this look Buy the","//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908_800x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988_800x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-450708_800x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-320004_800x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-680357_800x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-100693_800x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-950871_800x.jpg?v=1625990578","3,200",Mauve Cotton Corduroy Baggy Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Craft: Bagru Hand Block Print Primary Fabric: 100% Cotton - Natural Dyed, Hand Block Printed in Bagru (Rajasthan) Pattern: Floral, Contemporary Color: Brick Red Style: Hot Pants Length: Mid-Thigh Length Mid Rise waist Waistbandless This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Slim Fit Exposed Zip at the Front Belt Loops When summer gets too hot to bear, compete it with your hot pants. It has soft cotton fabric, relaxed fit, and inseam pockets to keep you snug. Get out in the sun any day or to a brunch wearing these hot pants with a black top.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography","//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-329598_800x.jpg?v=1626171553,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-731406_800x.jpg?v=1626171553,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-145244_800x.jpg?v=1626171553,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-287497_800x.jpg?v=1626171553,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-203071_800x.jpg?v=1626171553","2,760",Brick Red Block Print Floral Hot Pants
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton This garment is Hand Beaded Pattern: Solid Color: White Button Type: Wood Style: Short Length: Mid-Thigh Length Mid Rise waist Banded waist This garment has Welt Pocket Number of Pockets: 2 Garment Transparency: Opaque Slim Fit Concealed Zip at the Left For days as hot as the sun, our short shorts is perfect. It's a cute pair of white shorts made with breathable cotton in a relaxed silhouette with welt pockets and hand-beading done by our artisans. It keeps you feeling breezy all day, no matter where you go - the beach, brunch, or a day out. Complete the look with a tank top and sneakers.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart","//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-244024_800x.jpg?v=1625990991,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-249070_800x.jpg?v=1625990991,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-128854_800x.jpg?v=1625990991,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-924083_800x.jpg?v=1625990991,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-984262_800x.jpg?v=1625990991","3,020",White Hand Beaded Short Cotton Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu) Pattern: Solid Color: Khaki Green Style: Short Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist, Attached Belt at Waist This garment has Patch Pocket, Mobile Pocket Number of Pockets: 4 Garment Transparency: Opaque Comfort Fit Contrast Top Stitch For days as hot as the sun, our short shorts are perfect. It's a cute pair of violet shorts made from Mangalgiri cotton, in a relaxed silhouette with patch pockets. It features a fully elasticated waist with an attached belt for a snug fit. These shorts keep you feeling breezy all day, no matter where you go - the beach, brunch, or a day out. Complete the look with an ecru flared camisole and","//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-683178_800x.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_800x.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-725976_800x.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-401467_800x.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-346326_800x.jpg?v=1626083172","4,670",Khaki Vegetable Dyed Handspun Short Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Flannel Pattern: Solid Color: Grape Wine Button Type: Shell Style: Convertible Straight Cargo Pant Shorts Length: Ankle Length when worn as Pant. Mid-Thigh Length when worn as Shorts Mid Rise waist Half Elasticated Waist This garment has Slash Pocket Number of Pockets: 2 Garment Transparency: Opaque Relaxed Fit Exposed Zip at Front Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT48A--------------------------- 100% COTTON 100% Cotton is the","//cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot1_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot2_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6320_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6279_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6310_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6297_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6321_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6303_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6323_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6281---crop-for-pant_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6300_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6322_800x.jpg?v=1642053487,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A6302_800x.jpg?v=1642053479","4,630",Purple Flannel Convertible Pant Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Yarn Dyed Pattern: Stripes Color: Cloudy Grey Button Type: Metal Style: Paperbag, Pleated Length: Mid-Thigh Length High Rise waist Detached Belt at Waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Relaxed Fit Concealed Zip at Side Belt Loops Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT52 Shop this look Buy the Top Buy the 2-Piece Co-ord Set --------------------------- 100% COTTON","//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-213255_800x.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-183865_800x.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-875873_800x.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-688935_800x.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-646168_800x.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-981638_800x.jpg?v=1625849646","3,550",Cotton Grey Striped Paperbag Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Denim This garment is Hand Embroidered Pattern: Solid Color: Indigo Button Type: Metal Style: Paneled, Short Length: Mid-Thigh Length Mid Rise waist This garment has Slash Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Exposed Zip at Front Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT51 Shop this look Buy the Top --------------------------- 100% COTTON 100% Cotton is the epitome of versatility and longevity.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-298788_800x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-618394_800x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-946396_800x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-884463_800x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-926446_800x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-272301_800x.jpg?v=1611240888","3,400",Indigo Cotton Denim Paneled Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Yarn Dyed, Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu) Pattern: Checks Color: Off-white, Pink Style: Paneled Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist This garment has Slash Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Perfect for anyone who loves a blend of checks and stripes. These pocket-friendly paneled shorts come with slash pockets to rest your hands (and your stuff!). The fully elasticated waist makes it easy to wear, while the vegetable dyed 100% cotton ensures it's skin-friendliness. Style it with your favorite white spaghetti top and slide sandals for a perfect brunch by the sea.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture,","//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-120047_800x.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-297253_800x.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-278679_800x.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-215418_800x.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-377677_800x.jpg?v=1626283687","3,940",Vegetable Dyed Off-White Paneled Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Muslin - Yarn Dyed, Azo-Free Dyed, Handspun, Hand Woven in Murshidabad (West Bengal) Pattern: Solid Color: Melon Orange Button Type: Shell Style: Straight Length: Mid-Thigh Length Mid Rise waist Half Elasticated Waist This garment has Patch Pocket Number of Pockets: 2 Garment Transparency: Opaque Relaxed Fit Exposed Zip at front Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT46A Shop this look Buy the Top --------------------------- HAND","//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-828968_800x.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-593333_800x.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-712699_800x.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-402935_800x.jpg?v=1626279953","2,610",Melon Orange Handspun Mirror Work Shorts
